"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 27 16:08:49 EDT 2024","Sat Jul 27 16:08:56 EDT 2024","7216","chromium","annotations.spec.ts","Radion btns and check lists","","","Radio button",""
"passed","Sat Jul 27 16:08:49 EDT 2024","Sat Jul 27 16:08:56 EDT 2024","7058","chromium","annotations.spec.ts","Radion btns and check lists","","","checkbox button",""
"passed","Sat Jul 27 16:08:49 EDT 2024","Sat Jul 27 16:08:58 EDT 2024","8935","chromium","annotations.spec.ts","","","","Verify test input",""
